LANDUSE_TYPE,USER,PIPE DIAM,VENDOR,JAN16,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
H3,DOMESTICO RESIDENCIAL,0.5,,,10,10,10,20,20,20,20,10,2,6,1,5,4,4,12,15,9,19,10,17,7,12,0,0,0,5,3,3,1,1,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,22,22,22,21,21,21,21,20,20,20,19,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,DOMESTICO MEDIO,0.5,Cicasa NG 1/2,1028,12,8,3,10,7,12,11,13,9,7,6,8,9,8,13,9,9,8,13,7,13,12,12,10,11,9,9,9,8,8,14,12,13,10,15,11,10,14,10,10,13,15,17,15,16,13,18,12,18,15,14,12,16,16,12,13,13,11,15,11,11,13,15,19,12,16,8,9,15,10,20,15,27,15,17,19,14,19,7,6,11,11,12,9
H3,DOMESTICO MEDIO,0.5,CICASA MMD-15 S,551,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,16,11,8,10,9,7,15,12,9,15,8,11,10,9,9,10,2,2,2,4,6,4,7,7,7,11,11,11,14,13,12,15,15,10,8,12,8,10,6,8,20,9,9,2,14,8,10,11,10,16,13,6,0,0,0,8,22,19
H3,DOMESTICO RESIDENCIAL,0.5,CICASA MMD-15 S,1093,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,64,25,12,13,13,14,18,23,39,34,33,29,18,22,10,14,13,14,13,21,28,29,26,28,25,35,19,21,21,31,28,26,32,23,26,20,25,24,24,0,12,16,20,16,23,21,18,25,19,18,18
H3,DOMESTICO MEDIO,0.5,,,15,15,15,15,15,15,14,15,15,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,7,7,6,23,23,23,23,22,22,22,21,21,21,21,20,20,20,19,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,DOMESTICO RESIDENCIAL,0.5,MSDELAUNET,238,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,10,10,10,10,24,24,24,24,3,4,5,7,5,8,8,8,16,6,3,8,6,12,9,9,11,11,12,15,14,16,15,16,11
H3,DOMESTICO MEDIO,0.5,CICASA MMD-15 S,181,14,14,14,13,13,0,6,4,8,7,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,0,1,2,2,4,4,3,2,5,3,3,2,3,2,2,3,4,5,5,4,3,3,5,4,4,4,4,5,4,3,4,6,4,6,7,5,5,3,3,4,5,4,5,5,5,7,1,2
H3,DOMESTICO MEDIO,0.5,,,30,30,30,30,30,30,59,11,9,8,10,7,9,8,9,17,15,17,12,16,15,14,18,18,23,16,17,15,15,14,15,13,13,11,13,9,11,14,12,14,13,12,14,14,14,9,15,12,19,13,11,14,12,13,12,12,12,19,21,18,18,19,13,15,12,12,14,19,14,16,16,3,13,12,13,13,13,13,13,13,13,12,12,24
H3,DOMESTICO RESIDENCIAL,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,DOMESTICO MEDIO,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,DOMESTICO MEDIO,0.5,,,25,25,22,21,29,27,23,38,30,25,32,15,18,16,13,24,13,15,14,15,13,12,22,21,28,31,20,47,31,29,30,33,47,32,25,18,14,31,12,17,15,10,11,15,12,12,12,7,8,11,8,9,9,9,7,6,8,8,7,7,8,12,9,10,12,9,9,10,9,9,9,8,8,8,9,9,9,9,9,9,9,9,9,24
H3,DOMESTICO RESIDENCIAL,0.5,,,14,14,2,0,0,4,5,4,2,0,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,24,20,21,22,22,9,0,0,0,22,22,11,10,9,8,7,13,11,11,11,11,11,11,10,10,24
H3,DOMESTICO MEDIO,0.5,,,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,15,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,11,11,11,11,11,0,0,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
H3,SOCIAL,0.5,CICASA MMD-15 S,643,6,5,6,6,8,7,11,11,7,12,12,9,10,9,9,10,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,0,19,17,16,14,18,18,16,19,12,16,13,14,13,15,14,12,13,11,12,12,11,7,15,16,18,13,13,13,15,8,6,17,12,14,17,14,13,16,19,16,17,6,18,13,2,1,1
H3,DOMESTICO MEDIO,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,21,21,22,22,21,21,20,20,20,20,20,19,19,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,SOCIAL,0.5,DOROT,1626,20,20,20,8,9,14,21,17,12,9,12,9,6,5,6,7,8,11,15,8,25,11,10,9,11,12,14,15,13,15,11,16,18,19,19,18,12,17,19,21,19,18,26,16,21,18,18,15,15,13,15,17,17,12,28,14,24,17,15,17,17,17,16,11,24,15,31,27,20,15,26,16,23,12,17,19,13,18,23,20,20,5,18,17
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,240,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,18,23,12,10,10,10,11,14,10,9,4,9,6,10,5,7,8,9,9,6,9,8,11,8,4
H3,DOMESTICO MEDIO,0.5,CICASA MMD-15 S,177,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,3,7,8,6,11,8,8,6,8,6,5,5,6,8,8,7,8,5,5,4,5,5,4,4,6,5,5,6,5
H3,DOMESTICO RESIDENCIAL,0.5,,,15,15,13,14,15,15,17,20,17,18,17,19,28,9,4,15,14,18,18,13,27,4,15,0,12,0,1,1,1,2,1,1,0,1,1,1,0,1,0,0,1,1,2,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,2,1,3,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,24
H3,DOMESTICO MEDIO,0.5,,,41,42,35,40,39,38,38,37,37,37,37,36,36,0,10,10,10,10,10,10,10,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,24,24,24,18,13,18,15,18,16,15,15,15,15,15,15,14,14,13,15,15,15,15,15,15,15,15,15,24
H3,DOMESTICO MEDIO,0.5,,,20,20,20,20,15,17,32,27,21,9,31,10,11,9,13,13,14,14,17,13,15,11,11,13,12,11,15,12,21,3,12,6,5,2,0,4,4,22,24,13,29,15,25,4,29,18,29,21,19,13,9,30,32,21,30,30,30,27,27,27,28,30,30,16,0,30,34,30,45,20,26,30,30,28,27,26,27,29,29,29,29,28,28,24
H3,DOMESTICO MEDIO,0.5,,,11,9,10,10,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,15,15,15,15,15,15,15,15,15,15,15,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,DOMESTICO MEDIO,0.5,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,24,24,24,24,20,21,22,21,21,20,0,16,16,15,14,13,12,14,13,15,14,14,13,14,14,14,14,14,24
H3,SOCIAL,0.5,CICASA MMD-15 S,581,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,19,27,19,32,27,32,18,12,13,15,29,27,21,17,17,16,10,13,12,13,14,14,19,16,15,18,36,39,21
H3,SOCIAL,0.5,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26,25,20,21,28,29,24,31,35,7,25,24,23,24,22,0,33,20,20,19,19,17,23,24,23,23,23,23,22,21,22,21,21,20,20,20,20,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,DOMESTICO MEDIO,0.5,,,27,24,17,12,17,10,25,34,17,1,2,14,15,0,2,3,1,0,0,1,0,0,20,3,3,4,4,5,6,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,0,23,24,23,23,23,23,22,21,22,21,21,20,20,20,20,20,19,19,18,20,20,20,20,20,20,20,20,20,24
H3,DOMESTICO MEDIO,0.5,MSDELAUNET,845,20,20,20,6,11,12,16,20,19,17,13,9,11,6,7,10,9,8,8,10,8,8,8,8,8,8,7,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,23,24,23,23,23,0,21,21,26,31,48,74,67,85,50,66,44,49,38,32,10,10,19,25,29,33,17,10,30
